k    | x                                                                                | f(x)                             | delta  | target_acc | ||~g||         | f_evals | success | msg
   0 | [72.8, 51.0, 96.6, 35.7, 41.2, 57.7, 57.2, 6.6]                                  |                             0.59 | 1.0000 |     1.0000 |          -1.00 |       1 |       0 | 
   1 | [72.8, 51.0, 96.6, 35.7, 41.2, 57.7, 57.2, 6.6]                                  |                             0.66 | 0.5000 |     1.0000 |           0.92 |       1 |       0 | 2b triggered
   2 | [72.8, 51.0, 96.6, 35.7, 41.2, 57.7, 57.2, 6.6]                                  |                             0.25 | 0.5000 |     0.5000 |           1.51 |      21 |       0 | line search failure
   3 | [72.8, 51.0, 96.6, 35.7, 41.2, 57.7, 57.2, 6.6]                                  |                             0.98 | 0.5000 |     0.2500 |           3.93 |      25 |       0 | line search failure
   4 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.57 | 0.5000 |     0.2500 |           2.16 |      33 |       0 | line search success
   5 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.96 | 0.5000 |     0.1250 |           2.11 |      43 |       0 | line search failure
   6 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.07 | 0.2500 |     0.1250 |           2.81 |      43 |       0 | 2b triggered
   7 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.47 | 0.2500 |     0.0625 |           3.11 |      58 |       0 | line search failure
   8 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.03 | 0.2500 |     0.0312 |           5.80 |      62 |       0 | line search failure
   9 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.83 | 0.1250 |     0.0312 |           4.36 |      62 |       0 | 2b triggered
  10 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.55 | 0.1250 |     0.0156 |           6.34 |      74 |       0 | line search failure
  11 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.76 | 0.0625 |     0.0156 |           6.37 |      74 |       0 | 2b triggered
  12 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.99 | 0.0625 |     0.0078 |          15.71 |      89 |       0 | line search failure
  13 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.53 | 0.0625 |     0.0039 |          11.26 |      92 |       0 | line search failure
  14 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.96 | 0.0625 |     0.0020 |          18.27 |      98 |       0 | line search failure
  15 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.36 | 0.0312 |     0.0020 |          16.47 |      98 |       0 | 2b triggered
  16 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.01 | 0.0312 |     0.0010 |          42.69 |     111 |       0 | line search failure
  17 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.63 | 0.0156 |     0.0010 |          30.01 |     111 |       0 | 2b triggered
  18 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.73 | 0.0156 |     0.0005 |          58.01 |     126 |       0 | line search failure
  19 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.56 | 0.0156 |     0.0002 |          45.86 |     134 |       0 | line search failure
  20 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.12 | 0.0156 |     0.0001 |          79.57 |     140 |       0 | line search failure
  21 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.85 | 0.0078 |     0.0001 |          73.22 |     140 |       0 | 2b triggered
  22 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.49 | 0.0078 |     0.0001 |         124.49 |     157 |       0 | line search failure
  23 | [72.8, 51.77, 97.55, 35.8, 40.51, 58.45, 58.25, 7.41]                            |                             0.74 | 0.0078 |     0.0000 |         164.35 |     166 |       0 | line search failure
