k    | x                                                                                | f(x)                             | delta  | target_acc | ||~g||         | f_evals | success | msg
   0 | [72.8, 51.0, 96.6, 35.7, 41.2, 57.7, 57.2, 6.6]                                  |                           -22.68 | 1.0000 |     1.0000 |          -1.00 |       1 |       0 | 
   1 | [72.8, 51.0, 96.6, 35.7, 41.2, 57.7, 57.2, 6.6]                                  |                           -22.68 | 0.5000 |     1.0000 |           0.96 |       1 |       0 | 2b triggered
   2 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.5000 |     1.0000 |           1.81 |      19 |       0 | line search success
   3 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.5000 |     0.5000 |           1.86 |      48 |       0 | line search failure
   4 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.5000 |     0.2500 |           2.05 |      69 |       0 | line search failure
   5 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.5000 |     0.1250 |           2.17 |      88 |       0 | line search failure
   6 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.2500 |     0.1250 |           2.45 |      88 |       0 | 2b triggered
   7 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.2500 |     0.1250 |           2.64 |     108 |       0 | line search success
   8 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.2500 |     0.0625 |           2.69 |     139 |       0 | line search failure
   9 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.2500 |     0.0312 |           4.14 |     160 |       0 | line search failure
  10 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.1250 |     0.0312 |           4.87 |     160 |       0 | 2b triggered
  11 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.1250 |     0.0156 |           7.38 |     189 |       0 | line search failure
  12 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.0625 |     0.0156 |           4.65 |     189 |       0 | 2b triggered
  13 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.0625 |     0.0078 |          23.36 |     222 |       0 | line search failure
  14 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.0625 |     0.0039 |          17.45 |     245 |       0 | line search failure
  15 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.0312 |     0.0039 |          14.29 |     245 |       0 | 2b triggered
  16 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.0312 |     0.0020 |          56.03 |     278 |       0 | line search failure
  16 | [73.29, 51.2, 96.69, 35.96, 41.82, 57.76, 57.44, 6.47]                           |                           -22.82 | 0.0312 |     0.0010 |          36.15 |     302 |       0 | termination test triggered, algorithm terminated
